Pid,Name,Family,Type,Status,Laddr.IP,Laddr.Port,Raddr.IP,Raddr.Port,Timestamp
2076,svchost.exe,IPv4,UDP,,0.0.0.0,63426,,0,2026-04-01T10:56:18Z
1636,svchost.exe,IPv6,UDP,,::,123,,0,2026-04-01T10:32:30Z
12124,svchost.exe,IPv6,UDP,,::1,1900,,0,2026-04-01T07:54:21Z
12124,svchost.exe,IPv6,UDP,,fe80::f48:4582:2004:b977,1900,,0,2026-04-01T07:54:21Z
12124,svchost.exe,IPv6,UDP,,fe80::39a4:39b5:cc44:74bd,1900,,0,2026-04-01T07:54:21Z
12124,svchost.exe,IPv6,UDP,,fe80::b54c:7fc3:44d6:9e91,1900,,0,2026-04-01T07:54:21Z
23120,msedge.exe,IPv6,UDP,,::,5353,,0,2026-04-01T10:42:54Z
23120,msedge.exe,IPv6,UDP,,::,5353,,0,2026-04-01T10:42:54Z
23120,msedge.exe,IPv6,UDP,,::,5353,,0,2026-04-01T10:42:54Z
15884,chrome.exe,IPv6,UDP,,::,5353,,0,2026-04-01T08:31:12Z
2076,svchost.exe,IPv6,UDP,,::,5353,,0,2026-04-01T07:54:23Z
21460,chrome.exe,IPv6,UDP,,::,5353,,0,2026-04-01T08:32:52Z
21460,chrome.exe,IPv6,UDP,,::,5353,,0,2026-04-01T08:32:52Z
21460,chrome.exe,IPv6,UDP,,::,5353,,0,2026-04-01T08:32:52Z
15884,chrome.exe,IPv6,UDP,,::,5353,,0,2026-04-01T08:31:12Z
15884,chrome.exe,IPv6,UDP,,::,5353,,0,2026-04-01T08:31:12Z
2076,svchost.exe,IPv6,UDP,,::,5355,,0,2026-04-01T09:54:30Z
19752,ms-teams.exe,IPv6,UDP,,::,50088,,0,2026-04-01T07:55:52Z
12124,svchost.exe,IPv6,UDP,,fe80::b54c:7fc3:44d6:9e91,56293,,0,2026-04-01T07:54:21Z
12124,svchost.exe,IPv6,UDP,,fe80::f48:4582:2004:b977,56294,,0,2026-04-01T07:54:21Z
12124,svchost.exe,IPv6,UDP,,::1,56295,,0,2026-04-01T07:54:21Z
12124,svchost.exe,IPv6,UDP,,fe80::39a4:39b5:cc44:74bd,56296,,0,2026-04-01T07:54:21Z
5588,svchost.exe,IPv6,UDP,,::,58112,,0,2026-03-31T16:03:13Z
2076,svchost.exe,IPv6,UDP,,::,58514,,0,2026-04-01T10:23:32Z
2076,svchost.exe,IPv6,UDP,,::,63426,,0,2026-04-01T10:56:18Z
